,name,DepositsAndShort-termFinancing,CAR,InterestIncome,NIM
0,SBERBANK OF RUSSIA 2013,456005646.0,13.4,45176784.0,5.97
1,SBERBANK OF RUSSIA 2012,403464273.0,13.7,38103295.0,6.44
2,SBERBANK OF RUSSIA 2020,370821539.0,14.7,32477527.0,5.43
3,SBERBANK OF RUSSIA 2019,361637148.0,14.8,38704030.0,5.41
4,SBERBANK OF RUSSIA 2017,368389338.0,13.0,37003343.0,5.81
5,SBERBANK OF RUSSIA 2018,316935512.0,12.4,34902535.0,6.0
6,SBERBANK OF RUSSIA 2014,359626308.0,12.1,32668900.0,5.41
7,SBERBANK OF RUSSIA 2016,332481532.0,12.0,39550321.0,5.87
8,SBERBANK OF RUSSIA 2015,299595104.0,12.6,31277656.0,4.31
9,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2013,189451621.0,14.7,20969043.0,4.52
10,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2019,196702411.0,11.2,17882037.0,3.4
11,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2020,196760239.0,11.8,14291574.0,3.73
12,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2012,173122564.0,14.7,18296035.0,3.95
13,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2017,178942083.0,14.8,18336742.0,4.22
14,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2014,162637052.0,12.0,15003982.0,3.79
15,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2018,170613181.0,11.4,14883994.0,3.86
16,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2016,160809397.0,14.6,18263379.0,3.64
17,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2015,130664753.0,14.3,15105094.0,2.57
18,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2013,82221319.0,13.2,6513939.0,3.07
19,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2019,86759784.0,13.1,6614238.0,2.63
20,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2020,83534724.0,12.7,5514290.0,2.8
21,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2017,73603944.0,13.1,6342599.0,3.04
22,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2018,75249473.0,12.4,5376116.0,2.85
23,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2012,66992690.0,13.9,5785327.0,2.78
24,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2014,61380187.0,10.7,4792582.0,2.67
25,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2016,61266827.0,13.5,6266327.0,2.83
26,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2015,51262920.0,14.2,5089617.0,2.25
27,JOINT STOCK COMPANY ALFA-BANK 2020,48283230.0,13.03,3742513.0,4.27
28,JOINT STOCK COMPANY ALFA-BANK 2019,45989973.0,12.35,4343278.0,4.53
29,PUBLIC JOINT-STOCK COMPANY 'BANK OTKRITIE FINANCIAL CORPORATION' 2019,32080440.0,12.8,2327718.0,2.63
30,RUSSIAN AGRICULTURAL BANK OJSC 2019,42898911.0,15.1,4014639.0,2.7
31,RUSSIAN AGRICULTURAL BANK OJSC 2020,42185673.0,14.4,3171178.0,2.49
32,RUSSIAN AGRICULTURAL BANK OJSC 2013,29319537.0,18.0,4662228.0,4.6
33,RUSSIAN AGRICULTURAL BANK OJSC 2017,41567581.0,10.9,4085576.0,2.81
35,JOINT STOCK COMPANY ALFA-BANK 2013,36892018.0,12.1,4060678.0,5.45
36,JOINT STOCK COMPANY ALFA-BANK 2018,35543753.0,12.9,3231371.0,4.73
37,RUSSIAN AGRICULTURAL BANK OJSC 2012,22843506.0,16.1,4474511.0,5.3
38,PUBLIC JOINT-STOCK COMPANY 'BANK OTKRITIE FINANCIAL CORPORATION' 2020,28201778.0,15.31,2197475.0,2.82
39,PUBLIC JOINT-STOCK COMPANY 'BANK OTKRITIE FINANCIAL CORPORATION' 2015,39760519.0,15.74,3292921.0,1.77
40,PUBLIC JOINT-STOCK COMPANY 'BANK OTKRITIE FINANCIAL CORPORATION' 2014,37839151.0,12.36,2705409.0,3.57
41,RUSSIAN AGRICULTURAL BANK OJSC 2018,37663112.0,15.2,3339787.0,2.68
42,PUBLIC JOINT-STOCK COMPANY 'BANK OTKRITIE FINANCIAL CORPORATION' 2016,37293084.0,17.74,3448231.0,1.21
43,JOINT STOCK COMPANY ALFA-BANK 2017,33300165.0,11.33,3181847.0,4.45
45,JOINT STOCK COMPANY ALFA-BANK 2014,30961408.0,10.88,2904663.0,4.89
46,BM-BANK JSC 2012,28781852.0,19.6,2968067.0,3.7
47,PUBLIC JOINT-STOCK COMPANY 'BANK OTKRITIE FINANCIAL CORPORATION' 2013,34005689.0,14.37,2989654.0,3.95
48,RUSSIAN AGRICULTURAL BANK OJSC 2016,30588571.0,10.0,3971832.0,2.55
49,CREDIT BANK OF MOSCOW 2020,33424226.0,21.3,2117259.0,2.35
50,BM-BANK JSC 2014,29357395.0,10.6,2964891.0,3.6
51,CREDIT BANK OF MOSCOW 2017,27457977.0,23.4,2204142.0,2.79
52,RUSSIAN AGRICULTURAL BANK OJSC 2015,18841550.0,11.7,2695139.0,1.21
53,PUBLIC JOINT-STOCK COMPANY 'BANK OTKRITIE FINANCIAL CORPORATION' 2018,16843168.0,1.0,1909326.0,3.49
54,CREDIT BANK OF MOSCOW 2018,26271617.0,21.9,1985487.0,2.55
55,JOINT STOCK COMPANY ALFA-BANK 2015,21043023.0,14.67,2752839.0,4.06
56,PUBLIC JOINT-STOCK COMPANY 'BANK OTKRITIE FINANCIAL CORPORATION' 2012,23762127.0,16.3,2194405.0,4.46
57,UNICREDIT BANK AO 2012,22266780.0,15.0,1665690.0,2.99
58,UNICREDIT BANK AO 2013,20467119.0,16.3,1660630.0,3.35
59,PUBLIC JOINT-STOCK COMPANY ROSBANK 2013,18649677.0,19.4,2586406.0,6.61
60,PUBLIC JOINT-STOCK COMPANY ROSBANK 2012,19087601.0,18.2,2600032.0,6.82
61,CREDIT BANK OF MOSCOW 2016,21733548.0,14.7,1869506.0,3.08
62,UNICREDIT BANK AO 2014,17896415.0,9.3,1687183.0,3.32
63,PROMSVYAZBANK PUBLIC JOINT-STOCK COMPANY 2012,17904038.0,15.95,1802178.0,4.7
64,PROMSVYAZBANK PUBLIC JOINT-STOCK COMPANY 2013,18314227.0,13.45,2021284.0,4.73
67,BM-BANK JSC 2015,13834559.0,17.1,2420327.0,2.75
68,UNICREDIT BANK AO 2017,15473490.0,20.0,1844080.0,3.73
70,PUBLIC JOINT-STOCK COMPANY ROSBANK 2014,12870238.0,19.7,1598375.0,5.5
71,PROMSVYAZBANK PUBLIC JOINT-STOCK COMPANY 2016,17152623.0,13.35,1698108.0,2.51
72,SOVCOMBANK OJSC 2020,15634018.0,15.6,1801919.0,6.79
73,UNICREDIT BANK AO 2019,14996289.0,20.0,1876649.0,3.34
74,PUBLIC JOINT-STOCK COMPANY ROSBANK 2019,14364607.0,21.6,1481301.0,4.4
75,UNICREDIT BANK AO 2018,15403549.0,18.9,1570287.0,3.36
77,UNICREDIT BANK AO 2016,14873714.0,19.3,1936364.0,3.68
78,UNICREDIT BANK AO 2015,14739542.0,12.9,1782883.0,3.03
79,PROMSVYAZBANK PUBLIC JOINT-STOCK COMPANY 2014,15056916.0,12.88,1412927.0,4.07
80,PUBLIC JOINT-STOCK COMPANY ROSBANK 2020,13632548.0,22.5,1171617.0,4.19
81,SOVCOMBANK OJSC 2019,14602678.0,14.7,1649606.0,5.84
82,PUBLIC JOINT-STOCK COMPANY ROSBANK 2017,12657699.0,21.0,1426922.0,4.63
83,DOM.RF JOINT STOCK COMPANY 2020,4310606.0,28.1,1032762.0,2.11
84,UNICREDIT BANK AO 2020,13187468.0,23.5,1225228.0,3.36
86,PROMSVYAZBANK PUBLIC JOINT-STOCK COMPANY 2015,13796072.0,14.42,1419088.0,2.73
87,PUBLIC JOINT-STOCK COMPANY ROSBANK 2018,12199175.0,21.6,1210555.0,4.52
88,CREDIT BANK OF MOSCOW 2015,13547753.0,16.5,1224029.0,3.51
93,"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB' 2012",12178008.0,13.59,1093120.0,3.94
95,PUBLIC JOINT-STOCK COMPANY ROSBANK 2016,9145175.0,20.9,1429648.0,4.69
96,SOVCOMBANK OJSC 2018,11440350.0,13.8,1258417.0,6.33
97,CREDIT BANK OF MOSCOW 2013,9588877.0,14.8,1283652.0,4.98
98,PUBLIC JOINT-STOCK COMPANY ROSBANK 2015,9480919.0,20.6,1282321.0,3.97
100,DOM.RF JOINT STOCK COMPANY 2017,6656886.0,15.4,612359.0,3.58
101,BANK SAINT-PETERSBURG PJSC 2013,9889282.0,14.31,942019.0,3.86
102,AO RAIFFEISENBANK 2016,9253500.0,26.28,1510212.0,5.88
103,SOVCOMBANK OJSC 2017,9878472.0,16.5,1193103.0,5.55
105,BANK SAINT-PETERSBURG PJSC 2012,9055863.0,13.79,900847.0,3.86
107,"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB' 2013",9620771.0,11.6,1111408.0,5.1
109,DOM.RF JOINT STOCK COMPANY 2018,5391101.0,16.5,880833.0,2.69
110,HOME CREDIT AND FINANCE BANK 2013,8349211.0,23.5,2765390.0,19.19
111,BANK SAINT-PETERSBURG PJSC 2019,9294750.0,17.38,783346.0,3.73
112,AK BARS BANK 2013,7333101.0,14.48,877311.0,2.58
113,BANK SAINT-PETERSBURG PJSC 2017,9025647.0,16.73,818919.0,3.75
114,CREDIT BANK OF MOSCOW 2014,7123373.0,15.8,1032887.0,5.37
115,CREDIT BANK OF MOSCOW 2012,7381557.0,15.8,937234.0,5.01
116,BANK SAINT-PETERSBURG PJSC 2020,8307470.0,16.21,587872.0,4.0
117,BANK SAINT-PETERSBURG PJSC 2018,8331433.0,17.2,662706.0,3.69
118,BANK SAINT-PETERSBURG PJSC 2016,8181706.0,16.25,854838.0,4.19
120,SOVCOMBANK OJSC 2016,7791941.0,16.0,1046493.0,5.61
121,BANK SAINT-PETERSBURG PJSC 2014,7306970.0,13.32,688969.0,4.41
123,AO CITIBANK 2020,8041442.0,14.6,389370.0,3.88
124,"SMP BANK, LIMITED LIABILITY COMPANY 2017",7177817.0,13.0,804807.0,1.45
126,BANK ZENIT PJSC 2013,6976834.0,15.7,715714.0,3.36
127,AO CITIBANK 2019,7761925.0,14.2,524613.0,4.97
128,AK BARS BANK 2019,7212292.0,17.87,571676.0,3.02
129,"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB' 2017",6351193.0,8.4,677260.0,4.78
130,BANK ZENIT PJSC 2012,6089928.0,15.0,682787.0,3.48
131,AO CITIBANK 2017,6962833.0,15.2,558554.0,6.26
132,"SMP BANK, LIMITED LIABILITY COMPANY 2016",6125829.0,12.2,742008.0,2.12
133,AO CITIBANK 2018,6966262.0,14.6,452744.0,5.78
134,AK BARS BANK 2020,6310654.0,18.55,456036.0,2.89
135,BANK SAINT-PETERSBURG PJSC 2015,6548119.0,15.59,696921.0,3.54
136,NOVIKOMBANK JSCB 2020,6814505.0,11.65,400530.0,3.72
137,PJSC POST BANK 2019,6327301.0,11.19,1068012.0,10.93
138,AO CITIBANK 2016,6187992.0,15.1,523051.0,5.89
139,"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB' 2018",5311895.0,10.4,624875.0,5.28
140,"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB' 2014",5943955.0,14.12,619412.0,5.18
141,"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB' 2019",4668399.0,10.3,688265.0,5.61
142,"SMP BANK, LIMITED LIABILITY COMPANY 2015",5560702.0,13.5,412835.0,0.51
143,AO CITIBANK 2014,5579879.0,14.8,400507.0,4.72
145,"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB' 2020",4744634.0,10.4,525512.0,5.82
146,"OPEN JOINT-STOCK COMPANY ""MTS BANK 2013",5755125.0,19.43,711879.0,6.49
147,AK BARS BANK 2018,5248247.0,19.61,443360.0,3.14
148,AK BARS BANK 2017,5488005.0,16.52,518967.0,2.6
149,JOINT STOCK COMPANY BANK DOM.RF 2020,5073373.0,17.1,357844.0,4.47
150,AK BARS BANK 2016,5369856.0,14.0,625496.0,1.96
151,SOVCOMBANK OJSC 2015,5658160.0,11.4,617842.0,5.7
152,PJSC POST BANK 2020,5059986.0,13.18,891064.0,10.91
153,"JOINT STOCK COMPANY ""MOSCOW INDUSTRIAL BANK 2013",5736009.0,10.3,556577.0,4.34
154,"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB' 2016",4523222.0,7.1,597560.0,4.46
155,AO CITIBANK 2015,5114370.0,15.1,393737.0,4.96
156,AK BARS BANK 2015,4049751.0,18.38,571192.0,0.32
157,HOME CREDIT AND FINANCE BANK 2014,4018227.0,24.4,1323162.0,16.03
158,BANK ZENIT PJSC 2014,4331192.0,14.2,473126.0,3.33
160,NOVIKOMBANK JSCB 2018,5344933.0,10.6,362249.0,3.54
161,"JOINT STOCK COMPANY ""MOSCOW INDUSTRIAL BANK 2012",5267422.0,10.8,491147.0,4.66
163,HOME CREDIT AND FINANCE BANK 2019,3848983.0,25.9,914811.0,13.1
165,"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB' 2015",3439234.0,5.9,458828.0,2.45
167,"SMP BANK, LIMITED LIABILITY COMPANY 2013",4564230.0,11.9,318244.0,2.52
168,"SMP BANK, LIMITED LIABILITY COMPANY 2012",4572133.0,12.11,265032.0,1.96
169,HOME CREDIT AND FINANCE BANK 2017,3647400.0,23.8,830431.0,12.85
170,ABSOLUT BANK 2017,4432537.0,9.65,533505.0,3.35
171,JOINT STOCK COMPANY BANK DOM.RF 2017,4483352.0,5.2,479703.0,-0.1
172,"JOINT STOCK COMPANY ""MOSCOW INDUSTRIAL BANK 2017",4633803.0,9.2,449221.0,3.27
173,BANK ZENIT PJSC 2016,4361052.0,9.7,462964.0,2.07
174,SURGUTNEFTEGASBANK JSC 2019,4530761.0,19.3,307953.0,3.87
175,ING BANK (EURASIA) ZAO 2015,2336779.0,21.62,250296.0,0.96
176,HOME CREDIT AND FINANCE BANK 2018,3420886.0,23.6,774659.0,12.79
178,OTP BANK JSC 2012,3075686.0,20.51,1022193.0,20.98
179,CREDIT EUROPE BANK LTD 2013,3365409.0,19.82,650185.0,9.8
180,JOINT STOCK COMPANY BANK DOM.RF 2019,3392483.0,24.9,292445.0,3.76
181,JOINT STOCK COMPANY BANK DOM.RF 2016,4201896.0,11.5,419326.0,-0.32
182,DEUTSCHE BANK LLC 2013,3850290.0,18.3,98629.0,-1.24
183,JOINT STOCK BANK `TRANSCAPITALBANK' 2019,3429963.0,13.5,383152.0,2.76
184,BANK ZENIT PJSC 2017,3638587.0,17.3,463172.0,3.72
185,OTP BANK JSC 2013,3389644.0,14.1,1017035.0,19.62
186,"JOINT STOCK COMPANY ""MOSCOW INDUSTRIAL BANK 2016",4031689.0,10.3,422173.0,2.98
187,JOINT STOCK BANK `TRANSCAPITALBANK' 2017,3000293.0,10.3,446250.0,3.82
188,JOINT STOCK BANK `TRANSCAPITALBANK' 2013,3423183.0,14.5,400588.0,5.37
190,BANK ZENIT PJSC 2015,3575214.0,11.0,438692.0,1.85
192,JOINT STOCK BANK `TRANSCAPITALBANK' 2016,2878633.0,13.87,463836.0,4.68
194,SURGUTNEFTEGASBANK JSC 2017,3827624.0,15.5,303344.0,2.7
195,JOINT STOCK BANK `TRANSCAPITALBANK' 2020,3133226.0,16.7,295473.0,2.87
197,ABSOLUT BANK 2013,2596855.0,16.6,296891.0,3.8
198,"JOINT STOCK COMPANY ""MOSCOW INDUSTRIAL BANK 2014",3615968.0,8.8,356315.0,4.04
199,HOME CREDIT AND FINANCE BANK 2016,2681574.0,27.1,778526.0,13.17
200,HOME CREDIT AND FINANCE BANK 2020,2503259.0,30.2,689320.0,13.01
201,CREDIT EUROPE BANK LTD 2012,2480186.0,23.31,528641.0,9.19
202,RUSSIAN NATIONAL COMMERCIAL BANK - RNCB OAO 2020,2870462.0,23.0,310206.0,7.37
203,JOINT STOCK BANK `TRANSCAPITALBANK' 2012,3053219.0,14.8,366872.0,5.73
204,SOVCOMBANK OJSC 2013,3322073.0,16.3,566182.0,10.66
205,BANK ZENIT PJSC 2019,3138011.0,17.8,295139.0,3.19
206,NOVIKOMBANK JSCB 2016,3185515.0,20.12,409474.0,4.34
207,JOINT STOCK BANK `TRANSCAPITALBANK' 2018,2811388.0,12.1,285592.0,1.69
208,BANK ZENIT PJSC 2018,3232382.0,14.4,279292.0,3.56
209,HOME CREDIT AND FINANCE BANK 2015,2490948.0,24.3,829141.0,11.31
211,OPEN JOINT-STOCK COMPANY 'ROSGOSSTRAKH BANK' 2013,2741964.0,20.8,324601.0,4.49
212,ASIAN-PACIFIC BANK (JOINT STOCK COMPANY) 2013,2931232.0,15.33,487031.0,9.73
213,SKB-BANK 2013,3213641.0,12.65,729306.0,14.49
214,SOVCOMBANK OJSC 2014,3229802.0,11.6,532584.0,11.99
215,ABSOLUT BANK 2019,3308629.0,5.07,324590.0,3.12
216,"JOINT STOCK COMPANY ""MOSCOW INDUSTRIAL BANK 2020",3267132.0,2.6,213343.0,2.6
217,ABSOLUT BANK 2012,2515680.0,22.7,299084.0,4.54
218,RUSSIAN NATIONAL COMMERCIAL BANK - RNCB OAO 2019,2576548.0,25.3,317159.0,8.21
219,SURGUTNEFTEGASBANK JSC 2018,3246264.0,17.4,263526.0,3.01
220,CB RENAISSANCE CREDIT OOO 2013,2193925.0,22.0,663555.0,15.49
222,ABSOLUT BANK 2018,3220355.0,6.27,340892.0,3.2
224,ING BANK (EURASIA) ZAO 2016,1534400.0,25.1,238902.0,1.84
225,"JOINT STOCK COMPANY ""MOSCOW INDUSTRIAL BANK 2015",3086257.0,11.8,340234.0,2.47
226,OPEN JOINT-STOCK COMPANY 'ROSGOSSTRAKH BANK' 2012,2432157.0,20.77,316710.0,5.15
227,SOVCOMBANK OJSC 2012,2718902.0,16.1,425159.0,10.96
228,ORIENT EXPRESS BANK AO 2019,2539718.0,9.0,584082.0,10.9
229,JOINT STOCK BANK `TRANSCAPITALBANK' 2014,2495875.0,14.5,276141.0,4.98
230,ABSOLUT BANK 2020,2766295.0,3.62,236275.0,3.11
231,ASIAN-PACIFIC BANK (JOINT STOCK COMPANY) 2012,2491417.0,15.49,364775.0,8.11
233,OTP BANK JSC 2014,2093377.0,12.1,573961.0,18.2
234,JOINT STOCK COMPANY BANK DOM.RF 2018,2506269.0,17.1,305208.0,1.51
235,ING BANK (EURASIA) ZAO 2019,1748788.0,38.61,201037.0,0.93
236,ING BANK (EURASIA) ZAO 2017,1586912.0,23.83,201645.0,1.95
237,JOINT STOCK BANK `TRANSCAPITALBANK' 2015,2187133.0,15.11,304388.0,4.99
238,BANK ZENIT PJSC 2020,2387585.0,15.8,196016.0,3.04
242,"OPEN JOINT-STOCK COMPANY ""MTS BANK 2016",2050105.0,29.3,270553.0,5.53
243,CB RENAISSANCE CREDIT OOO 2019,2006026.0,11.6,484120.0,14.14
244,RUSSIAN NATIONAL COMMERCIAL BANK - RNCB OAO 2018,1865959.0,34.07,210524.0,7.52
245,ING BANK (EURASIA) ZAO 2018,1274263.0,35.15,206404.0,3.7
248,PERESVET BANK 2020,1614428.0,28.37,166591.0,1.32
249,"OPEN JOINT-STOCK COMPANY ""MTS BANK 2015",1979626.0,16.9,284473.0,6.44
250,CREDIT EUROPE BANK LTD 2014,1759604.0,21.67,385068.0,9.22
251,"OPEN JOINT-STOCK COMPANY ""MTS BANK 2017",2020126.0,21.1,243588.0,5.87
252,EXIMBANK OF RUSSIA ZAO 2020,1411995.0,26.4,159791.0,4.0
253,SKB-BANK 2016,2071880.0,13.2,336455.0,7.26
254,OTP BANK JSC 2019,1742981.0,13.67,326926.0,11.3
255,CENTROCREDIT BANK ZAO 2013,1455424.0,42.16,171805.0,3.96
256,CLOSED JOINT STOCK COMPANY LOCKO-BANK 2013,2052818.0,17.3,258191.0,5.43
258,ORIENT EXPRESS BANK AO 2020,1910452.0,10.4,404950.0,12.64
259,PERESVET BANK 2019,1477683.0,29.03,211548.0,1.6
261,WEST SIBERIAN COMMERCIAL BANK PJSC 2019,1977831.0,12.66,197168.0,4.68
263,ASIAN-PACIFIC BANK (JOINT STOCK COMPANY) 2014,1910345.0,11.75,300249.0,8.67
264,CB RENAISSANCE CREDIT OOO 2014,1537730.0,17.0,412919.0,14.27
265,CB RENAISSANCE CREDIT OOO 2018,1770196.0,10.8,399856.0,14.96
266,CREDIT EUROPE BANK LTD 2019,1715573.0,16.91,280135.0,8.01
267,CB RENAISSANCE CREDIT OOO 2017,1677769.0,10.3,394378.0,15.34
268,HSBC BANK (RR) LLC 2014,1355600.0,17.8,50451.0,0.76
269,OPEN JOINT-STOCK COMPANY 'ROSGOSSTRAKH BANK' 2016,1760069.0,23.11,232038.0,3.99
271,PERESVET BANK 2018,1449133.0,26.12,174412.0,2.92
272,OTP BANK JSC 2017,1532418.0,15.98,335620.0,13.76
273,CLOSED JOINT STOCK COMPANY LOCKO-BANK 2020,1831739.0,22.2,130476.0,4.4
274,PERESVET BANK 2014,1685349.0,16.51,200708.0,4.28
275,SURGUTNEFTEGASBANK JSC 2016,1889488.0,13.2,170808.0,3.88
276,METALLINVESTBANK 2012,1730233.0,15.8,139450.0,3.58
